"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HIST2H2BC",8.91451758885529,1.48586314868179,0.422873112701362,3.51373285284072,0.000441856950714432,0.0231633293768855
"LOC100507616",3.89552089280916,2.21295520879849,0.633147709871461,3.4951641999112,0.000473770194329845,0.0242020497091605
"LOC102724484",33.344754180986,1.99699169234415,0.571783065466995,3.49256879567278,0.000478398347013308,0.0242020497091605
"CLEC18B",21.0292168722055,1.64583329562285,0.470797148665664,3.49584380510265,0.000472565233842022,0.0242020497091605
"LOC101927870",3.69768627897898,2.3222686956983,0.667433376365897,3.4794015072228,0.000502535055511245,0.0253051468903957
"DUSP27",24.3588607281273,-1.02279453627935,0.294288666701424,-3.47548054685043,0.000509938975591419,0.0254418519247369
"ALOX15B",38.7223816047197,1.34560502218594,0.387784524512827,3.46998123217119,0.000520494732905549,0.0257698010524382
"SERPINF2",41.6999703873123,1.10683880356145,0.319124127521458,3.46836452686275,0.00052363646795951,0.0257698010524382
"ATOH7",20.5959143883991,-1.32087564500644,0.380954732955448,-3.4672771611448,0.00052575947131885,0.0258157416426086
"DLX4",3.73038405380009,-2.58477679478888,0.746409163156363,-3.46294890574301,0.000534289842728595,0.0258849898451444
"AQP8",5.61176119233794,-1.54725454461311,0.447403291774553,-3.45829942036452,0.000543596877636976,0.0262170734119006
"MIR6717",22.8110909419994,1.44226090920678,0.417802039811865,3.45201978874069,0.000556406918067284,0.026775386569433
"SNORA25",21.988407789059,1.06607783990768,0.310189327250018,3.43686176877519,0.000588495862324588,0.027339670443984
"LOC101929705",9.67097154320792,-1.32311002661644,0.385931062940966,-3.4283584651978,0.000607243074334045,0.0278037899625987
"SNORD104",29.645060195662,1.04938840806093,0.306170435381363,3.42746485876018,0.000609245151602436,0.0278367316320582
"HHLA2",5.18265370149991,-1.15316496814742,0.338535982947663,-3.40632909419763,0.000658427596530882,0.029166853170274
"SPDYA",15.6809611980488,1.00899206251779,0.296214137810274,3.40629272450207,0.000658515322924676,0.029166853170274
"SLC35G6",16.3747552671138,1.18685211696309,0.349240423091374,3.39838128260589,0.000677858756612882,0.0298243063900793
"PROK2",5.87621804980913,1.59857558550204,0.470622188020606,3.39672804681289,0.000681967062420871,0.0299004669812529
"LOC339666",12.7759512726027,1.01385533929489,0.29941032534668,3.38617360012875,0.000708745328310645,0.030341438491042
"NKG7",7.49253671805596,-1.57347809196013,0.464680286215281,-3.38615202460118,0.000708801055842893,0.030341438491042
"SPDEF",21.0925141056359,-1.19750150339761,0.353474712713306,-3.38779963694,0.000704557126193269,0.030341438491042
"PRSS35",37.0670657063526,-1.2993942811123,0.384490851370612,-3.37951937342666,0.000726126895099172,0.0307375972619421
"C9orf106",9.17569392372539,-1.22962805477258,0.364786726868702,-3.37081358559179,0.000749465536899469,0.0312631839518762
"CLEC4F",3.2357979532284,-2.61377938598721,0.775628175350017,-3.36988710448494,0.000751989857474334,0.0312652028290526
"MSC",35.8448131842688,-1.27731548069142,0.379828835727716,-3.36287127396266,0.000771363234267731,0.0318005308056834
"TAC1",29.6385697783851,-1.37650630627115,0.410157202529325,-3.35604567659088,0.00079065509212071,0.0322948687348882
"ITPKB-IT1",41.860015146112,1.17320154528102,0.349614251482314,3.35570286481977,0.000791635726257224,0.0322948687348882
"LINC01068",2.93809822659609,1.99092493222483,0.594984603869631,3.3461789082883,0.00081933512028172,0.0329296853990262
"MCHR1",101.483879142803,-1.34082709103693,0.40186433945205,-3.33651672817044,0.000848353231268107,0.0337973142179591
"ZBBX",98.0925280921237,-1.24118152258786,0.371961539482255,-3.33685446166155,0.000847323054494382,0.0337973142179591
"CTRB1",3.5984087108958,1.90728556816139,0.573152967936465,3.32770774096875,0.000875636757706956,0.0345080086507583
"SLC4A9",51.1025082761818,1.18088890227299,0.355180443796557,3.32475766303561,0.000884954190783533,0.0346056951397748
"PNMA3",755.892208278288,-1.19737304898271,0.361336222992515,-3.31373655003725,0.000920582009007214,0.0356138883092399
"SMTN",470.134050664457,1.02158935331141,0.308572629396332,3.3106933538142,0.000930651318988808,0.0358119247801669
"LINC01265",1.25472905129793,-3.04330837512071,0.919762047420747,-3.30879968754412,0.000936968475410213,0.0359181234294568
"CXCR1",14.4595756921163,1.56342791981137,0.472825961922475,3.30656107260816,0.000944487591547612,0.0359202131823787
"OIT3",2.2779422623616,1.99356418554101,0.603383681166855,3.3039743164511,0.000953245648479313,0.036105218689261
"ANKRD18DP",15.5455268080593,-1.08124118778179,0.327579973389765,-3.30069380186222,0.000964460776082389,0.0361859477190344
"DHDH",18.3212268732655,-1.38309518586456,0.419472894125717,-3.29722183538763,0.000976463440820376,0.0363918250222751
"DLK1",3.03676049139006,-2.60513469899659,0.790343357637739,-3.29620622963555,0.000980000472542843,0.0363935683580139
"LOC108783645",5.71173708872139,1.51080207186258,0.459720253080883,3.28635090957537,0.0010149448584402,0.0367401633211977
