"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1orf226",111.019655189109,0.808915601261652,0.202790561216688,3.98892136008886,6.6374419389947e-05,0.00813855380802271
"LOC101929054",9.24379734104104,1.29613596597158,0.325560007848787,3.98125056740259,6.85536356521119e-05,0.00827343348486731
"DDB1",2647.67483760649,-0.451386992905556,0.113342287552747,-3.98251175842458,6.81907499472258e-05,0.00827343348486731
"NAA16",315.29625667851,0.530077064073896,0.133150824310931,3.98102728103336,6.86180724911817e-05,0.00827343348486731
"PRR34",50.4794500939392,1.54758848453615,0.389777728394703,3.97043846222277,7.17404844897694e-05,0.00860212008221804
"EIF3K",684.217643075582,-0.306489451102941,0.077270907929216,-3.96642746043181,7.29579664536489e-05,0.00870003706562386
"PPP1R2",341.831543065964,-0.671101431309324,0.169336506079637,-3.9631231731787,7.39755897015496e-05,0.00877318154804772
"GADD45A",306.669393918782,-1.26353929604769,0.319331512429032,-3.95682620370422,7.59521476014844e-05,0.00895863836627725
"KANSL1L",476.051584933518,0.494791495061435,0.125125265474583,3.95436919302235,7.67368399709409e-05,0.0090022683129153
"TJP3",51.5657627006854,1.03690675260993,0.262361987752069,3.95219887413645,7.74363421155588e-05,0.00903548888674179
"CTSG",1.78235687666559,-4.25420205734182,1.07809069607292,-3.94605210195978,7.94503323356623e-05,0.00922091209989775
"STAT1",999.923844776785,-0.773874549469548,0.196373248694484,-3.94083488771699,8.11985044217554e-05,0.00927500600771241
"SPOUT1",505.083485971597,0.526339880393492,0.13355924467296,3.94087194549742,8.11859599580468e-05,0.00927500600771241
"TSC22D3",1153.26561054066,0.539094634688011,0.136793308035711,3.94094303609702,8.11619001407197e-05,0.00927500600771241
"GTSE1-AS1",17.9583426650279,1.22366362035343,0.310947550400375,3.93527338864013,8.31020440521696e-05,0.00944274168620019
"MTSS1L",12950.6257602342,0.713295106401288,0.181359623427865,3.93304249821072,8.38774011131491e-05,0.00948120435603477
"PRTN3",12.9382675263645,-2.54099178504951,0.646982764171509,-3.92744896118425,8.58516318868528e-05,0.00965408272974284
"FOXN3",1163.42206442277,0.468208716815399,0.119536538095686,3.91686696197117,8.97072212063437e-05,0.0099332439889861
"ZC3H12C",477.25311088493,0.583301488509215,0.148883599758095,3.91783574186116,8.9347553303164e-05,0.0099332439889861
"ZNF449",100.320849919668,-0.760742807847847,0.194123201922706,-3.91886595890146,8.89665711067347e-05,0.0099332439889861
"LANCL2",828.23296140416,-0.506061800246409,0.129390790906028,-3.91111142224909,9.18723737405173e-05,0.0101213508999515
"ARMCX5",124.907614811326,-0.656407537489158,0.168319470362498,-3.89977188067132,9.6283362669026e-05,0.0105006925628436
"MIR22HG",85.9570239217287,-0.956102075082185,0.245148511397306,-3.90009333376149,9.61556122587178e-05,0.0105006925628436
"WBP2",3773.96976038959,-0.485473247215507,0.124669738686963,-3.89407447491726,9.85743638675637e-05,0.0106435791990932
"RBM3",539.003077756492,-1.12731692360249,0.289466378923907,-3.89446583673483,9.84153603237361e-05,0.0106435791990932
"WBP11P1",19.079593347997,-0.773131943997152,0.19875939009859,-3.8897882691915,0.000100331722225721,0.0107796998389347
"ABCC11",24.9563898276872,-1.04598672193938,0.26965458164635,-3.87898739028725,0.000104892191416816,0.0111303447229189
"LOC101926941",12.2124901773047,-1.21313939631005,0.312683268874934,-3.87977073629506,0.000104554967272566,0.0111303447229189
"DDHD1",1119.14272285637,-0.329224421520328,0.0849378090828062,-3.87606444144758,0.00010615957967305,0.0111303447229189
"PLCG1",2508.42703880342,0.565052090983128,0.145750688498794,3.87683994362609,0.000105821921429872,0.0111303447229189
"GSS",305.179527179735,-0.521493267868591,0.134493791749454,-3.87745234248487,0.000105555995758565,0.0111303447229189
"ATP12A",2.24468854543495,-2.48521032852157,0.641634971547928,-3.87324637640318,0.000107395161271525,0.0112057556974804
"ZBTB25",207.969122110666,0.34490746773385,0.0891634804091869,3.86825936079445,0.000109615039156553,0.0112427378748356
"GPATCH2",285.790032383703,-0.462063212808964,0.119394026416348,-3.87006977382327,0.000108804208762223,0.0112427378748356
"TSHR",49.2873189963811,1.04297868872778,0.26946793876128,3.87051125088299,0.000108607344242762,0.0112427378748356
"USP5",1650.38230671365,-0.550639202883399,0.142364964807244,-3.86779994382003,0.000109821703426492,0.0112427378748356
