"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FAM86B3P",-1.31335708479469,4.53709481632121,-5.02330884475199,5.92409540402738e-05,0.0137368126761763,1.92273742677411
"MIR6847",1.23954585454245,1.15583255309684,5.00015824232877,6.25396334299132e-05,0.0140223161566409,1.87283686523289
"LOC101928238",-1.05556064727644,4.3181268818714,-4.99368735470459,6.3494524106687e-05,0.0141197249099543,1.8588809414583
"LOC101929054",1.19510179034263,3.25996718156881,4.97235553121237,6.67483152921289e-05,0.0143720777291703,1.81284947288624
"ABCC11",-1.04206578999176,4.49873099624911,-4.95397423013433,6.96873198605149e-05,0.0145733473324709,1.77315506462792
"BAALC-AS1",-1.34555866667991,6.04215877884672,-4.93454607147398,7.29363914203824e-05,0.01461620891798,1.73117058296935
"KIF2B",-1.92590799433293,2.47129465040572,-4.92884637960962,7.39183795305577e-05,0.01461620891798,1.71884784022629
"ADCYAP1",-1.86702112619759,5.89264727552533,-4.92638198534013,7.43471002831273e-05,0.01461620891798,1.71351903146563
"PRMT8",-1.23002040992314,7.357516447032,-4.91270833528705,7.67720038568447e-05,0.0147718047137319,1.68394369129943
"SOWAHB",-1.62439101190541,6.77263214495088,-4.88487846107312,8.19576400200285e-05,0.0151595609188185,1.62370529606475
"HSPB3",-1.7829777023429,3.27821771274303,-4.88393304675886,8.21398988229382e-05,0.0151595609188185,1.62165790745567
"SLC6A9",1.00596079320419,8.67462711030226,4.85699066773401,8.75099308416555e-05,0.015722810753206,1.56328401962669
"LINC00898",-2.8210078219387,3.92497542518269,-4.81087725197517,9.75387129304437e-05,0.0171782582671616,1.46325430557198
"PRR34-AS1",1.21281045016956,5.88185023135197,4.80728689067031,9.83667029908683e-05,0.0171782582671616,1.45545993627808
"C6orf223",-1.70212128360964,3.36813533458965,-4.79571164033578,0.000101084818757478,0.0171782582671616,1.43032519974941
"LINC01546",1.5309454511455,2.93304234451778,4.79083225907371,0.000102253230863007,0.0171782582671616,1.41972736001773
"LOC102725079",1.27678962823926,2.25900401721015,4.78936125910977,0.000102608145837791,0.0171782582671616,1.41653209548603
"C7orf61",1.6745456172272,5.6396821651505,4.76620140259612,0.000108363017394709,0.0177101726621593,1.36620650570274
"SERPINA5",2.73047504547697,4.16531254768313,4.74072755152811,0.000115070385705907,0.0184725418000074,1.31081371394301
"SLC16A6",-1.28903030511121,5.20187114293993,-4.73268021029572,0.000117275267733249,0.0186063041731173,1.29330656493682
"SLC25A30-AS1",1.22784664684223,2.36871872942496,4.65665863720302,0.000140329213031989,0.0208039975385675,1.1277366783883
"FKBP5",1.18738922690072,10.1186236527316,4.62867444815199,0.000149923732896964,0.021327456743534,1.06671101371624
"CCNA2",1.13655479425852,5.53284012625674,4.61191342167652,0.000155984345954113,0.0215910984986484,1.03014140656555
"LYRM9",-1.14703278805948,7.70795080922308,-4.60672074815329,0.000157911619113849,0.0216370819523168,1.01880919556142
"ATP12A",-1.43783544173904,1.35193728013984,-4.59939313805199,0.000160672181584883,0.0218401875601874,1.0028156797329
"DSG3",-1.21085479763136,0.682831328878007,-4.59270825607664,0.000163233011443042,0.0218401875601874,0.988222859896059
"SPRED3",-1.01066875479798,7.69697844293774,-4.58539924194895,0.000166080027088265,0.0218725783247797,0.972265281479316
"KRT5",-1.81979160769394,2.56132963960576,-4.54751514428066,0.000181658412866516,0.0226478917228888,0.889516994927866
"GCKR",-1.0631279930685,4.26843960782796,-4.53920564919117,0.000185267607582394,0.0226478917228888,0.871359094005241
"ATOH7",-1.18163686523556,4.05544974039248,-4.53717963774812,0.000186158490755776,0.0226478917228888,0.866931443781364
"CPLX1",-1.14426288707481,10.6610596225365,-4.53141374925276,0.000188717555833775,0.0228230727150512,0.854329787298623
"RFX6",-1.35470107041535,1.08342328487496,-4.51188247039161,0.000197652169056133,0.0230141774527592,0.811633825666857
"CLEC18B",2.0817868941179,4.12141446812327,4.50016723013514,0.000203214342797143,0.0234617904994666,0.786017320377093
"ZNF341-AS1",1.38344557011468,2.2296165534962,4.50014306458117,0.000203225977418896,0.0234617904994666,0.785964475083834
"PTPRD-AS2",-1.03044563912771,3.73296958873566,-4.47765147173233,0.00021435050244556,0.0237640621690754,0.736771263556632
"FAAHP1",1.36192867992591,4.13379676446661,4.47728055829828,0.000214539003937452,0.0237640621690754,0.735959869084412
"RPLP0P2",-1.48293391233645,4.91401715626752,-4.45902155444056,0.000224027456802432,0.0238352851433245,0.696011939514329
"TUBB3",-1.0433546815604,10.3614870743815,-4.4183886668827,0.000246684747390854,0.0245878115795332,0.607078840562369
"LINC01168",-1.65199532682104,5.74443672438707,-4.41261889070385,0.00025008361059712,0.0245878115795332,0.594447035013165
"MAS1",-2.05199164400227,4.27468967633318,-4.4113035207676,0.000250865031776329,0.0245878115795332,0.591567174606167
"GAP43",-1.00073389311797,10.9551018134024,-4.4110028366137,0.000251044003226344,0.0245878115795332,0.590908853302559
"DNAH11",1.04443791809435,6.17860721853416,4.40551864089853,0.000254330870632934,0.0246289817107216,0.578901317251691
"HEPACAM2",-1.03613327740745,1.587089360814,-4.39072292956062,0.000263415689029874,0.0246289817107216,0.546502980546473
"ANKRD18DP",-1.13192681794911,3.88360356991349,-4.38921859402715,0.000264357438090886,0.0246289817107216,0.543208651218309
"ALOX12B",-1.25363995998904,4.22235917377956,-4.37540197025145,0.000273166648366305,0.0248691650005969,0.512949578114341
"GMNC",1.60765677132718,2.4708759960366,4.36123710380873,0.000282503952508514,0.0253190769644544,0.481923987958623
"LINC00473",-1.92022308997453,4.91860026078379,-4.3507241228785,0.000289640503423957,0.0257637601898097,0.458894888035288
"LOC105378385",-1.20318390107929,3.22471684727162,-4.33253366698246,0.000302418748930836,0.0263161835808499,0.419043810557415
"INHBA-AS1",-1.11793474769471,4.86980556631693,-4.33137572804078,0.000303251055833645,0.0263161835808499,0.416506870092963
"CCDC184",-1.14793204938265,7.87945669303513,-4.327174243171,0.000306290352835452,0.0263161835808499,0.407301639545448
"LOC102723493",-1.57587329388607,2.66289815224496,-4.3210806135223,0.000310752775922708,0.0264975376466052,0.393950407631346
"C3orf80",-1.21292707076115,7.76104838810422,-4.30728210760191,0.000321100034461138,0.0265807794113008,0.363716018544167
"P2RX6P",-1.58587812528374,2.25870475335675,-4.30667395515436,0.000321563943486264,0.0265807794113008,0.362383425383085
"LOC100506085",-1.38168946648071,1.40965428148751,-4.297274745375,0.000328819870098555,0.0266373551126821,0.341787252510311
"ELANE",-1.71922000626086,2.66751987417982,-4.29589504901,0.000329898684771883,0.0266373551126821,0.338763898463795
"IL1RL2",-1.10962597797319,3.96653241406612,-4.28343958748842,0.000339799894643404,0.027114032769634,0.311469274251507
"LOC101928269",1.11319352757535,2.33499823110976,4.27352537696196,0.000347893446988601,0.0273225579145543,0.289742654135702
"TFCP2L1",1.23968041136951,5.61170366344563,4.26062391260546,0.00035871560651748,0.0276198406187378,0.261468701181261
"LMNTD1",1.30317031601119,3.63700147001385,4.25985220756568,0.000359373525190359,0.0276198406187378,0.259777460171
"USP2-AS1",-1.01109615334708,3.83638815036912,-4.25569670858614,0.000362937139567562,0.0277775296642779,0.250670376166681
"SH2D5",-1.15824486845475,9.14077052382909,-4.23615429464343,0.000380176519229791,0.028413743709929,0.207841038606951
"COLEC10",-1.01013917870761,2.92242840518229,-4.21997671072032,0.000395066291799957,0.0287566298817526,0.172385763628492
"STAT4",-1.45490060874687,6.87831750516224,-4.21900837697529,0.000395975836213956,0.0287566298817526,0.170263539126609
